task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f9/0aa336	35024	_1A_prodigalsearch	CACHED	0	2024-06-25 23:19:48.546	13m 37s	13m 35s	1948.4%	80.6 GB	114.7 GB	6 GB	4.2 GB
2	eb/03de90	27711	_1B_miniprotinit	CACHED	0	2024-06-25 23:33:25.862	6h 19m 33s	6h 19m 31s	1439.0%	39.4 GB	53.9 GB	63.7 GB	160.9 GB
3	cd/0919de	8513	_1C_miniprotinit	CACHED	0	2024-06-26 05:52:58.568	3.1s	3s	123.5%	34.7 MB	2.9 GB	42.5 MB	1.3 MB
4	f2/35e451	8768	_1D_miniprotsearch	CACHED	0	2024-06-26 05:53:01.705	43m 5s	43m 5s	128.0%	2 GB	5.1 GB	3.4 GB	1.3 GB
5	95/f72cc1	14938	_1E_extract_miniprot_results	CACHED	0	2024-06-26 06:36:07.167	1.6s	1.5s	270.0%	39.7 MB	2.9 GB	16.2 MB	9.6 MB
6	62/188c47	15131	_1F_combinedorf	CACHED	0	2024-06-26 06:36:08.788	3m 30s	3m 28s	128.7%	4.8 GB	5.5 GB	5.1 GB	3.5 GB
7	2d/bbc63e	19445	_2_general_alignment	CACHED	0	2024-06-26 06:39:38.902	18m 2s	18m	937.9%	236.4 GB	268.4 GB	18.8 GB	15.7 GB
8	5a/201f3b	4726	_3_DNApolthrim	COMPLETED	0	2024-06-26 09:39:08.765	14m 35s	14m 33s	590.1%	8.9 GB	20.7 GB	4.7 GB	2.9 GB
9	0d/b027d2	32145	_4_polinto_thrim	COMPLETED	0	2024-06-26 09:53:43.475	12.9s	11.1s	1688.5%	1.7 GB	17.5 GB	58.1 MB	44.9 MB
10	f0/a46ae4	34068	_5_final_treatment	COMPLETED	0	2024-06-26 09:53:56.367	184ms	122ms	-	11.6 MB	24.1 MB	35.1 MB	68.8 MB
